0,1117
1,17
2,41
3,54
4,63
5,89
6,54
7,47
8,43
9,33
10,26
11,32
12,28
13,17
14,11
15,17
16,17
17,22
18,16
19,10
20,17
21,6
22,6
23,10
24,8
25,7
26,8
27,3
28,5
29,2
30,2
31,2
32,3
34,3
35,4
36,4
37,3
38,5
39,1
40,8
41,4
43,1
44,1
48,1
52,2
53,1
54,3
55,2
56,4
57,1
58,3
60,1
62,1
63,3
64,1
68,1
69,4
70,4
71,4
72,7
73,3
74,5
75,4
76,4
77,4
78,5
79,6
80,3
81,1
84,1
86,1
87,7
169,3
252,2
334,1
13286135,1
13286156,1
13286178,1
13286200,1
13286220,1
13286243,1
13291957,2
13297486,1
13297555,1
13297694,2
13297763,1
13297832,1
13297900,1
13297966,1
13298031,1
13298163,1
13298236,1
13305581,2
13305657,1
13305733,1
13305809,1
13305962,2
13306039,1
13306114,1
13306191,1
13306269,1
13314950,1
13315017,1
13315086,1
13315152,1
13315220,1
13315285,1
13315350,1
13315415,1
13315482,1
13315547,1
13315612,1
13315677,1
13318829,1
13322255,1
13329110,2
13329177,1
13329313,2
13329381,1
13329449,1
13329517,1
13329585,1
13329790,3
13329941,2
13339365,1
13351611,1
13351693,2
13353722,1
13353803,1
13353888,2
13354070,1
13356035,1
13356114,1
13356192,1
13356270,1
13356349,1
13356425,1
13356503,1
13356581,1
13356661,1
13356738,1
13356813,1
13356889,1
13360623,1
13360688,1
13361076,1
13366085,1
13366645,1
13375276,1
13375341,1
13375407,1
13375471,1
13375532,1
13375593,2
13377960,2
13381149,2
13381333,1
13383794,1
13383816,1
13387117,1
13387160,1
13387201,1
13387240,1
13389225,1
13389351,1
13389375,1
13390931,1
13394142,1
13398298,1
13398327,1
13398358,1
13398386,1
13398501,1
13398530,1
