Time,DeviceId,lat,long,Speed,Sat
20:39:12, df, 0.40000, 0.00000, 21, 0
20:39:13, df, 0.00000, 0.00000, 21, 0
20:39:14, df, 0.00010, 0.00010, 21, 0
20:39:15, df, 0.00020, 0.00020, 21, 0
20:39:16, df, 0.00030, 0.00030, 21, 0
20:39:17, df, 0.00040, 0.00040, 21, 0
20:39:18, df, 0.00050, 0.00050, 21, 0
20:39:19, df, 0.00060, 0.00060, 21, 0
20:39:20, df, 0.00070, 0.00070, 21, 0
20:39:21, df, 0.00080, 0.00080, 21, 0
20:39:22, df, 0.00090, 0.00090, 21, 0
20:39:23, df, 0.00100, 0.00100, 21, 0
20:39:24, df, 0.00110, 0.00110, 21, 0
20:39:25, df, 0.00120, 0.00120, 21, 0
20:39:26, df, 0.00130, 0.00130, 21, 0
20:39:27, df, 0.00140, 0.00140, 21, 0
Time,DeviceId,lat,long,Speed,Sat
20:40:21, df, 0.40000, 0.00000, 21, 0
20:40:22, df, 0.00000, 0.00000, 21, 0
20:40:23, df, 0.00010, 0.00010, 21, 0
20:40:24, df, 0.00020, 0.00020, 21, 0
20:40:25, df, 0.00030, 0.00030, 21, 0
20:40:26, df, 0.00040, 0.00040, 21, 0
20:40:27, df, 0.00050, 0.00050, 21, 0
20:40:28, df, 0.00060, 0.00060, 21, 0
